category,model,url
direct-cool-refrigerator,MFO-A1E-RXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfo-1a5-0101-rxxx-xx
direct-cool-refrigerator,MFS-T9C-C2SR-VB,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfs-t9c-c2sr-vb
direct-cool-refrigerator,MFO-JET-RXXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfo-jet-rxxx-xx
direct-cool-refrigerator,MFD-A4D-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a4d-gdsh-xx
direct-cool-refrigerator,MFD-A7X-GDEH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a7x-gdeh-xx
direct-cool-refrigerator,MFD-A7X-GDEL-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a7x-gdel-xx
direct-cool-refrigerator,MFD-A7X-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-a7x-gdsh-xx
direct-cool-refrigerator,MFD-1B6-GDSH-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfd-1b6-gdsh-xx
direct-cool-refrigerator,<,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=7
direct-cool-refrigerator,>,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator?page=9
direct-cool-refrigerator,MFE-C1B-GDEN-DD,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfe-c1b-gden-dd
direct-cool-refrigerator,MFB-A7G-GDXX-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-a7g-gdxx-xx
direct-cool-refrigerator,MFA-A9C-GDES-XX,http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfa-a9c-gdes-xx
direct-cool-refrigerator,MFB-B2C-GDEH-SC (Inverter),http://marcelbd.com/refrigerator-freezer/direct-cool-refrigerator/mfb-b2c-gdeh-sc-inverter
